trial,failed,error,train_sessions,val_sessions,session_norm,crop_first,crop_last,unstable_remove,gauss_sigma,win,step,b,include_mean,include_var,include_energy_sigmoid,early_stopping,validation_fraction,random_state,use_pca,pca_components,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,n_iter_no_change,train_mse,train_rmse,train_mae,train_r2,val_mse,val_rmse,val_mae,val_r2,train_time_s,actual_n_iter
471,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,20,20.0,30,10.897864682807171,3.3011914035401175,2.2684121838466504,0.9927853570996643,407.0638248021214,20.175822778814286,16.578862963941194,0.6767480516971881,19.87884460017085,3000
443,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,8,200,10.0,30,26.53297729115095,5.151017112294517,3.559670506226034,0.9824345445818968,407.23462693008776,20.1800551765868,16.476133229325765,0.6766124166510963,11.778859900077805,3000
83,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,8,200,10.0,30,26.53297729115095,5.151017112294517,3.559670506226034,0.9824345445818968,407.23462693008776,20.1800551765868,16.476133229325765,0.6766124166510963,13.28258110000752,3000
125,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,50,10.0,30,3.3925017172009535,1.84187451179524,1.2252086524830514,0.9977540840209739,407.3560594511324,20.183063678518494,16.53295660018727,0.6765159863209531,33.99811899999622,3000
485,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,63,8,50,10.0,30,3.3925017172009535,1.84187451179524,1.2252086524830514,0.9977540840209739,407.3560594511324,20.183063678518494,16.53295660018727,0.6765159863209531,27.54030860005878,3000
25,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,8,20,1.0,30,11.16997651603319,3.3421514801147465,2.297898505964731,0.9926052126619398,407.41233551458674,20.1844577711314,16.54576365965471,0.6764712971443521,19.110560299945064,3000
385,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,8,20,1.0,30,11.16997651603319,3.3421514801147465,2.297898505964731,0.9926052126619398,407.41233551458674,20.1844577711314,16.54576365965471,0.6764712971443521,14.679406000068411,3000
96,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,12,200,20.0,30,26.608575185813102,5.1583500449090405,3.569652214831425,0.9823844969964405,407.4929428059778,20.186454438706612,16.444436870524008,0.6764072863863285,12.965052500017919,3000
456,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,12,200,20.0,30,26.608575185813102,5.1583500449090405,3.569652214831425,0.9823844969964405,407.4929428059778,20.186454438706612,16.444436870524008,0.6764072863863285,11.62404159992002,3000
464,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,8,100,10.0,30,11.327713249188616,3.3656668357382933,2.2763005122369906,0.9925007872322704,407.5618095303227,20.188160132372705,16.593229256040157,0.6763525988865771,17.02267249999568,3000
104,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,8,100,10.0,30,11.327713249188616,3.3656668357382933,2.2763005122369906,0.9925007872322704,407.5618095303227,20.188160132372705,16.593229256040157,0.6763525988865771,25.489845799980685,3000
371,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,8,200,10.0,30,27.818318466225602,5.274307392087192,3.6544811567314373,0.9815836184736023,407.58936310572057,20.188842540019984,16.5145687210456,0.6763307184187305,9.80873900000006,3000
11,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,8,200,10.0,30,27.818318466225602,5.274307392087192,3.6544811567314373,0.9815836184736023,407.58936310572057,20.188842540019984,16.5145687210456,0.6763307184187305,11.143647499964572,3000
38,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,12,20,10.0,30,11.438546708835144,3.3820920609639153,2.3451183320077487,0.9924274128735283,407.922942975154,20.19710234105759,16.558261375824245,0.6760658205424297,21.288893899996765,3000
398,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,12,20,10.0,30,11.438546708835144,3.3820920609639153,2.3451183320077487,0.9924274128735283,407.922942975154,20.19710234105759,16.558261375824245,0.6760658205424297,15.47448919992894,3000
383,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,12,200,10.0,30,27.62966381788029,5.256392662071612,3.6400648636987665,0.9817085122907779,407.9400276305236,20.19752528480961,16.530941414356114,0.6760522535099454,9.572767999954522,3000
23,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,12,200,10.0,30,27.62966381788029,5.256392662071612,3.6400648636987665,0.9817085122907779,407.9400276305236,20.19752528480961,16.530941414356114,0.6760522535099454,14.93912619992625,3000
455,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,12,200,10.0,30,26.25392378364604,5.123858290745953,3.539613485673937,0.9826192845713656,407.95688454331264,20.1979425819392,16.477401008557404,0.6760388673292792,11.61671349988319,3000
95,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,15,12,200,10.0,30,26.25392378364604,5.123858290745953,3.539613485673937,0.9826192845713656,407.95688454331264,20.1979425819392,16.477401008557404,0.6760388673292792,13.006669600028545,3000
22,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,12,200,1.0,30,27.232208326358922,5.218448842937805,3.6196030469088947,0.9819716371802463,408.3194038069725,20.206914752306265,16.537985024550096,0.6757509884976677,11.395153300021775,3000
382,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,12,200,1.0,30,27.232208326358922,5.218448842937805,3.6196030469088947,0.9819716371802463,408.3194038069725,20.206914752306265,16.537985024550096,0.6757509884976677,9.57845770008862,3000
399,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,12,20,20.0,30,12.299232274807345,3.5070261297582808,2.4027112896506244,0.9918576187726932,408.4945230476833,20.2112474391781,16.58254933909603,0.675611925205142,16.20284799998626,3000
39,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,12,20,20.0,30,12.299232274807345,3.5070261297582808,2.4027112896506244,0.9918576187726932,408.4945230476833,20.2112474391781,16.58254933909603,0.675611925205142,19.740037499926984,3000
370,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,8,200,1.0,30,27.19353341255809,5.21474193153967,3.613433387971955,0.9819972408833932,408.5956642802577,20.21374938699542,16.542356068301626,0.6755316083150344,9.786157599883154,3000
10,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,15,8,200,1.0,30,27.19353341255809,5.21474193153967,3.613433387971955,0.9819972408833932,408.5956642802577,20.21374938699542,16.542356068301626,0.6755316083150344,9.728385100024752,3000
477,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,100,20.0,30,11.043664337094866,3.3232009173528563,2.2653412496489276,0.9926888342971434,408.67476730172893,20.21570595605627,16.563438598030277,0.675468792107233,18.395042200107127,3000
117,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,100,20.0,30,11.043664337094866,3.3232009173528563,2.2653412496489276,0.9926888342971434,408.67476730172893,20.21570595605627,16.563438598030277,0.675468792107233,24.043352200067602,3000
64,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,50,1.0,30,3.248235097932941,1.802286075497711,1.2112749519981445,0.997849591918232,408.7674544819443,20.217998280787945,16.57616959724577,0.6753951886333751,31.423924800008535,3000
424,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,63,12,50,1.0,30,3.248235097932941,1.802286075497711,1.2112749519981445,0.997849591918232,408.7674544819443,20.217998280787945,16.57616959724577,0.6753951886333751,24.661010400159284,3000
42,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,12,50,20.0,30,12.082260774633179,3.475954656584746,2.388506650536907,0.9920012590122143,408.803832292362,20.21889790004297,16.648154097636098,0.6753663007848952,21.487704399973154,3000
402,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,64,0.03,3000,31,12,50,20.0,30,12.082260774633179,3.475954656584746,2.388506650536907,0.9920012590122143,408.803832292362,20.21889790004297,16.648154097636098,0.6753663007848952,15.250504299998283,3000
470,False,,"(3, 6, 8, 9)","(2, 7)",per_frame,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,20,10.0,30,10.325196748271383,3.2132844175813915,2.2115336653377864,0.9931644767500181,408.81532323138487,20.219182061383812,16.55307697775696,0.6753571757578094,19.407083499943838,3000
110,False,,"(3, 6, 8, 9)","(2, 7)",per_depth,100,100,20,2.0,10,5,3.0,True,True,True,False,0.1,0,True,96,0.03,3000,31,12,20,10.0,30,10.325196748271383,3.2132844175813915,2.2115336653377864,0.9931644767500181,408.81532323138487,20.219182061383812,16.55307697775696,0.6753571757578094,22.953991800080985,3000
